Date,Product,Category,Price,Quantity,Total,Customer Name,City
2024-03-11,Jeans,Men's Wear,Rs. 0,3,"Rs. 3,000",Aisha Khan,Multan
2024-02-16,Sneakers,Men's Wear,-1000,2,-4500,Ahmed Ali,
2024-03-11,Cap,Women's Wear,"Rs. 3,000",3,-4500,Zara Sheikh,Lahore
2024-01-26,T-Shirt,Men's Wear,"Rs. 3,000",2,-4500,Ali Raza,
2024-02-09,T-Shirt,Men's Wear,"Rs. 3,000",2,3000,Ahmed Ali,
2024-01-05,T-Shirt,Men's Wear,"Rs. 1,500",3,-4500,Ahmed Ali,Multan
2024-01-21,Sneakers,Men's Wear,-1000,3,"Rs. 4,500",,
2024-03-18,Sneakers,Men's Wear,"Rs. 3,000",2,"Rs. 3,000",Zara Sheikh,Hyderabad
2024-01-04,Hoodie,Men's Wear,Rs. 0,2,-4500,Ahmed Ali,Multan
2024-01-23,Hoodie,Men's Wear,1500,3,-4500,,Lahore
2024-03-24,T-Shirt,Women's Wear,1500,3,3000,Aisha Khan,Hyderabad
2024-01-15,Cap,Men's Wear,"Rs. 3,000",4,3000,,Karachi
2024-04-02,Hoodie,Men's Wear,1500,2,"Rs. 3,000",Aisha Khan,Islamabad
2024-01-08,Hoodie,Men's Wear,1500,2,"Rs. 4,500",Aisha Khan,Lahore
2024-02-10,Sneakers,Men's Wear,"Rs. 1,500",4,"Rs. 3,000",Ahmed Ali,Lahore
2024-01-19,Cap,Women's Wear,Rs. 0,2,-4500,,Lahore
2024-02-15,T-Shirt,Women's Wear,Rs. 0,1,"Rs. 4,500",Aisha Khan,Hyderabad
2024-01-28,Hoodie,Women's Wear,"Rs. 1,500",2,"Rs. 4,500",Zara Sheikh,Karachi
2024-03-31,Cap,Women's Wear,"Rs. 1,500",4,"Rs. 4,500",Ahmed Ali,Multan
2024-03-08,Cap,Women's Wear,1500,1,"Rs. 4,500",,Karachi
2024-01-15,T-Shirt,Women's Wear,-1000,3,"Rs. 3,000",,Hyderabad
2024-04-08,Cap,Men's Wear,1500,4,3000,Usman Javed,Lahore
2024-02-06,Cap,Women's Wear,"Rs. 1,500",4,3000,,Islamabad
2024-01-01,Cap,Women's Wear,Rs. 0,3,-4500,Ahmed Ali,Lahore
2024-03-07,Hoodie,Men's Wear,1500,4,3000,Zara Sheikh,Multan
2024-01-24,T-Shirt,Women's Wear,-1000,2,3000,,
2024-01-27,Cap,Men's Wear,1500,3,3000,Usman Javed,Islamabad
2024-02-09,Cap,Men's Wear,"Rs. 3,000",4,3000,Ahmed Ali,Lahore
2024-03-03,Hoodie,Women's Wear,1500,3,-4500,Aisha Khan,Islamabad
2024-03-01,T-Shirt,Men's Wear,"Rs. 1,500",3,"Rs. 3,000",Ali Raza,
2024-02-05,Sneakers,Women's Wear,Rs. 0,3,"Rs. 4,500",Ali Raza,Karachi
2024-04-07,Hoodie,Women's Wear,Rs. 0,1,3000,Aisha Khan,Hyderabad
2024-04-02,T-Shirt,Men's Wear,"Rs. 1,500",4,"Rs. 3,000",,Lahore
2024-01-24,Cap,Men's Wear,"Rs. 3,000",1,3000,Ali Raza,Multan
2024-01-24,T-Shirt,Women's Wear,"Rs. 1,500",4,3000,Ali Raza,Karachi
2024-01-04,T-Shirt,Men's Wear,1500,2,"Rs. 4,500",Aisha Khan,Lahore
2024-03-07,T-Shirt,Men's Wear,"Rs. 1,500",2,"Rs. 4,500",,Karachi
2024-02-03,Sneakers,Women's Wear,"Rs. 1,500",2,"Rs. 4,500",,Multan
2024-02-26,T-Shirt,Women's Wear,"Rs. 3,000",4,3000,Aisha Khan,Lahore
2024-02-18,Sneakers,Men's Wear,1500,3,3000,,
2024-03-27,Cap,Women's Wear,-1000,3,3000,,
2024-02-22,Sneakers,Women's Wear,-1000,1,"Rs. 4,500",Ahmed Ali,Multan
2024-01-23,Cap,Women's Wear,Rs. 0,1,-4500,Ahmed Ali,Islamabad
2024-03-09,Cap,Women's Wear,"Rs. 1,500",2,"Rs. 3,000",Aisha Khan,Multan
2024-04-04,Sneakers,Women's Wear,Rs. 0,1,-4500,Zara Sheikh,Islamabad
2024-02-22,Hoodie,Women's Wear,"Rs. 3,000",4,3000,Ali Raza,Lahore
2024-03-02,Jeans,Women's Wear,-1000,4,3000,Ahmed Ali,Islamabad
2024-02-10,T-Shirt,Men's Wear,"Rs. 1,500",1,-4500,Ali Raza,Lahore
2024-02-26,Jeans,Women's Wear,"Rs. 3,000",1,3000,Usman Javed,Lahore
2024-02-29,T-Shirt,Men's Wear,"Rs. 3,000",1,"Rs. 3,000",Aisha Khan,Hyderabad
2024-02-23,T-Shirt,Men's Wear,"Rs. 1,500",1,3000,Zara Sheikh,Lahore
2024-03-10,Cap,Men's Wear,"Rs. 3,000",2,"Rs. 3,000",Usman Javed,Islamabad
2024-02-26,T-Shirt,Women's Wear,"Rs. 1,500",2,-4500,Usman Javed,Hyderabad
2024-01-10,T-Shirt,Women's Wear,"Rs. 1,500",1,-4500,,Hyderabad
2024-02-09,Sneakers,Men's Wear,1500,4,3000,Usman Javed,Lahore
2024-01-07,Jeans,Women's Wear,Rs. 0,2,"Rs. 3,000",Aisha Khan,Multan
2024-02-07,Sneakers,Men's Wear,"Rs. 3,000",4,3000,Ahmed Ali,Multan
2024-03-25,T-Shirt,Women's Wear,"Rs. 3,000",3,"Rs. 4,500",Aisha Khan,
2024-03-01,Cap,Women's Wear,1500,4,"Rs. 4,500",Ahmed Ali,Hyderabad
2024-03-24,Sneakers,Men's Wear,1500,1,"Rs. 4,500",Usman Javed,Lahore
2024-01-03,Sneakers,Men's Wear,1500,3,"Rs. 4,500",Usman Javed,Multan
2024-02-20,Hoodie,Men's Wear,-1000,2,3000,Zara Sheikh,Lahore
2024-03-26,T-Shirt,Women's Wear,-1000,2,"Rs. 4,500",Ahmed Ali,Lahore
2024-02-16,Cap,Men's Wear,-1000,3,"Rs. 3,000",Usman Javed,Hyderabad
2024-03-08,Sneakers,Women's Wear,"Rs. 1,500",4,-4500,,
2024-04-01,Sneakers,Women's Wear,"Rs. 3,000",2,-4500,Ali Raza,Hyderabad
2024-03-16,Cap,Women's Wear,Rs. 0,1,"Rs. 4,500",Zara Sheikh,Karachi
2024-02-07,T-Shirt,Men's Wear,"Rs. 1,500",3,"Rs. 4,500",Aisha Khan,Multan
2024-02-05,Hoodie,Men's Wear,"Rs. 3,000",1,"Rs. 4,500",Zara Sheikh,Multan
2024-02-10,Sneakers,Men's Wear,"Rs. 3,000",3,3000,Ali Raza,Multan
2024-03-09,Hoodie,Women's Wear,1500,2,-4500,Ahmed Ali,Islamabad
2024-01-13,Jeans,Women's Wear,1500,4,"Rs. 4,500",Aisha Khan,Lahore
2024-03-27,T-Shirt,Men's Wear,"Rs. 1,500",3,"Rs. 3,000",Aisha Khan,Hyderabad
2024-02-27,Jeans,Women's Wear,1500,3,"Rs. 4,500",Ahmed Ali,Multan
2024-02-19,Jeans,Women's Wear,"Rs. 3,000",1,-4500,Zara Sheikh,Karachi
2024-01-30,Jeans,Men's Wear,1500,2,"Rs. 4,500",Usman Javed,Multan
2024-03-02,T-Shirt,Men's Wear,-1000,1,-4500,Zara Sheikh,
2024-01-25,T-Shirt,Men's Wear,1500,2,"Rs. 4,500",Ali Raza,Lahore
2024-01-27,Cap,Women's Wear,"Rs. 3,000",1,"Rs. 3,000",,Lahore
2024-02-20,Hoodie,Women's Wear,"Rs. 1,500",3,"Rs. 4,500",Usman Javed,Hyderabad
2024-03-18,Hoodie,Women's Wear,Rs. 0,1,"Rs. 3,000",Zara Sheikh,Islamabad
2024-02-26,Cap,Women's Wear,1500,4,"Rs. 3,000",,Hyderabad
2024-02-16,Cap,Women's Wear,"Rs. 3,000",2,"Rs. 4,500",,Multan
2024-04-09,Jeans,Men's Wear,Rs. 0,2,"Rs. 3,000",Ahmed Ali,
2024-02-08,Cap,Women's Wear,Rs. 0,3,3000,Ali Raza,Karachi
2024-01-16,Sneakers,Women's Wear,-1000,2,"Rs. 4,500",Ali Raza,Hyderabad
2024-01-22,Hoodie,Women's Wear,Rs. 0,4,"Rs. 4,500",Ali Raza,Islamabad
2024-03-25,Cap,Men's Wear,"Rs. 3,000",1,"Rs. 3,000",Usman Javed,Hyderabad
2024-02-23,Sneakers,Men's Wear,"Rs. 3,000",3,"Rs. 3,000",Aisha Khan,Lahore
2024-01-21,Sneakers,Men's Wear,1500,4,"Rs. 4,500",Usman Javed,Multan
2024-03-12,Sneakers,Women's Wear,1500,2,3000,Zara Sheikh,Multan
2024-01-16,Sneakers,Men's Wear,1500,2,"Rs. 3,000",,Multan
2024-02-28,Jeans,Men's Wear,Rs. 0,4,"Rs. 3,000",,Multan
2024-01-31,Sneakers,Men's Wear,Rs. 0,1,-4500,Aisha Khan,Multan
2024-02-11,Jeans,Women's Wear,-1000,1,3000,Zara Sheikh,Multan
2024-03-14,Jeans,Men's Wear,1500,3,3000,Aisha Khan,Karachi
2024-02-01,Sneakers,Women's Wear,"Rs. 1,500",2,"Rs. 4,500",,Islamabad
2024-02-28,Hoodie,Women's Wear,-1000,4,3000,Usman Javed,Multan
2024-02-03,Sneakers,Men's Wear,"Rs. 1,500",1,"Rs. 4,500",Ali Raza,Islamabad
2024-01-09,Sneakers,Women's Wear,Rs. 0,3,-4500,,
2024-03-21,Sneakers,Men's Wear,-1000,2,3000,Ahmed Ali,Multan
2024-01-11,Hoodie,Women's Wear,-1000,2,"Rs. 3,000",Ali Raza,Hyderabad
2024-04-05,T-Shirt,Men's Wear,"Rs. 3,000",3,-4500,,Multan
2024-01-10,T-Shirt,Men's Wear,Rs. 0,3,"Rs. 4,500",Usman Javed,Lahore
2024-03-26,Jeans,Men's Wear,Rs. 0,1,-4500,Aisha Khan,Karachi
2024-01-17,Jeans,Women's Wear,-1000,4,"Rs. 4,500",Ali Raza,Hyderabad
2024-03-08,Hoodie,Men's Wear,Rs. 0,2,-4500,Usman Javed,Hyderabad
2024-02-17,Cap,Women's Wear,-1000,4,"Rs. 4,500",Zara Sheikh,Lahore
2024-02-21,T-Shirt,Men's Wear,"Rs. 3,000",2,3000,Ahmed Ali,Multan
2024-01-25,Jeans,Women's Wear,-1000,2,"Rs. 3,000",Ali Raza,Karachi
2024-01-21,T-Shirt,Women's Wear,Rs. 0,4,"Rs. 4,500",Aisha Khan,Hyderabad
2024-03-05,Hoodie,Men's Wear,Rs. 0,3,-4500,Zara Sheikh,Karachi
2024-03-03,Hoodie,Men's Wear,-1000,1,"Rs. 4,500",Usman Javed,Hyderabad
2024-03-29,Cap,Men's Wear,-1000,2,"Rs. 4,500",Ahmed Ali,Multan
2024-02-20,Cap,Men's Wear,-1000,3,"Rs. 4,500",Aisha Khan,
2024-02-05,Hoodie,Men's Wear,1500,2,-4500,Usman Javed,Hyderabad
2024-03-21,Jeans,Women's Wear,Rs. 0,1,"Rs. 3,000",Usman Javed,
2024-03-28,T-Shirt,Men's Wear,Rs. 0,2,3000,Ali Raza,Hyderabad
2024-03-06,Sneakers,Men's Wear,1500,1,"Rs. 3,000",Ali Raza,Islamabad
2024-01-15,Cap,Women's Wear,-1000,1,"Rs. 4,500",Aisha Khan,Multan
2024-04-05,Sneakers,Men's Wear,"Rs. 3,000",2,-4500,,Lahore
2024-02-08,Jeans,Men's Wear,-1000,2,"Rs. 3,000",,
2024-03-10,Cap,Women's Wear,-1000,1,"Rs. 4,500",Usman Javed,Lahore
2024-01-01,Sneakers,Men's Wear,1500,3,3000,Ali Raza,Multan
2024-01-23,Jeans,Men's Wear,Rs. 0,4,3000,Ahmed Ali,Lahore
2024-02-08,T-Shirt,Men's Wear,-1000,1,3000,Ahmed Ali,Multan
2024-02-26,Jeans,Women's Wear,Rs. 0,2,"Rs. 4,500",Usman Javed,Lahore
2024-03-21,Cap,Men's Wear,"Rs. 1,500",2,-4500,Ali Raza,
2024-02-03,Hoodie,Women's Wear,Rs. 0,3,"Rs. 3,000",Aisha Khan,Islamabad
2024-02-10,T-Shirt,Men's Wear,"Rs. 3,000",4,3000,Aisha Khan,Lahore
2024-04-02,Sneakers,Women's Wear,"Rs. 3,000",1,"Rs. 4,500",Aisha Khan,
2024-03-13,Cap,Men's Wear,-1000,1,"Rs. 4,500",Ahmed Ali,Hyderabad
2024-01-13,Hoodie,Women's Wear,Rs. 0,4,"Rs. 3,000",Ali Raza,Multan
2024-03-10,Jeans,Women's Wear,-1000,1,3000,Ali Raza,Karachi
2024-01-06,Hoodie,Women's Wear,1500,4,"Rs. 4,500",Ahmed Ali,Karachi
2024-03-24,Cap,Women's Wear,"Rs. 3,000",2,"Rs. 3,000",Aisha Khan,Multan
2024-02-21,Cap,Women's Wear,-1000,4,-4500,Aisha Khan,Islamabad
2024-01-03,Hoodie,Women's Wear,1500,1,-4500,Usman Javed,Lahore
2024-03-21,Jeans,Men's Wear,-1000,4,-4500,,Islamabad
2024-03-03,Hoodie,Men's Wear,Rs. 0,3,3000,Zara Sheikh,Karachi
2024-02-18,Cap,Women's Wear,Rs. 0,2,"Rs. 3,000",,
2024-03-16,Cap,Women's Wear,Rs. 0,2,"Rs. 3,000",Ali Raza,Multan
2024-02-16,Sneakers,Women's Wear,Rs. 0,4,"Rs. 4,500",Ali Raza,Multan
2024-02-24,Sneakers,Women's Wear,"Rs. 1,500",1,"Rs. 4,500",Ali Raza,Islamabad
2024-03-04,T-Shirt,Men's Wear,1500,3,"Rs. 4,500",,
2024-03-05,Cap,Women's Wear,1500,2,"Rs. 3,000",Zara Sheikh,Islamabad
2024-03-21,Sneakers,Men's Wear,Rs. 0,2,"Rs. 4,500",Usman Javed,Lahore
2024-03-07,Hoodie,Men's Wear,"Rs. 1,500",1,"Rs. 3,000",,Hyderabad
2024-03-30,Jeans,Women's Wear,Rs. 0,1,"Rs. 3,000",Zara Sheikh,
2024-01-15,Hoodie,Women's Wear,"Rs. 1,500",3,-4500,Aisha Khan,Hyderabad
2024-04-09,Jeans,Men's Wear,Rs. 0,4,"Rs. 4,500",Aisha Khan,Lahore
2024-02-01,Sneakers,Men's Wear,"Rs. 3,000",1,-4500,Ali Raza,Hyderabad
2024-04-05,T-Shirt,Women's Wear,"Rs. 3,000",4,3000,Ahmed Ali,Karachi
2024-03-08,Hoodie,Women's Wear,-1000,3,3000,Ali Raza,Hyderabad
2024-01-18,Hoodie,Women's Wear,Rs. 0,4,3000,Ahmed Ali,Lahore
2024-03-23,Hoodie,Men's Wear,1500,2,"Rs. 3,000",Zara Sheikh,Hyderabad
2024-02-12,Jeans,Men's Wear,-1000,4,"Rs. 3,000",Aisha Khan,Multan
2024-02-04,Sneakers,Women's Wear,"Rs. 3,000",3,"Rs. 3,000",,Islamabad
2024-03-18,Hoodie,Men's Wear,Rs. 0,3,"Rs. 4,500",Ahmed Ali,Karachi
2024-02-27,Hoodie,Men's Wear,-1000,3,-4500,Zara Sheikh,Multan
2024-02-02,T-Shirt,Women's Wear,Rs. 0,4,"Rs. 3,000",Aisha Khan,Multan
2024-01-14,T-Shirt,Women's Wear,"Rs. 3,000",2,-4500,,Lahore
2024-02-03,Sneakers,Men's Wear,-1000,1,-4500,Ahmed Ali,Islamabad
2024-03-01,Sneakers,Men's Wear,"Rs. 3,000",2,-4500,Ali Raza,Islamabad
2024-01-04,Cap,Women's Wear,"Rs. 1,500",4,"Rs. 4,500",Ali Raza,
2024-03-28,T-Shirt,Women's Wear,"Rs. 3,000",4,"Rs. 4,500",Ali Raza,Karachi
2024-02-28,Cap,Women's Wear,Rs. 0,1,3000,Zara Sheikh,Lahore
2024-01-29,Jeans,Women's Wear,1500,4,3000,Ali Raza,Karachi
2024-03-23,Cap,Women's Wear,"Rs. 3,000",3,-4500,Usman Javed,
2024-01-06,Hoodie,Men's Wear,1500,3,3000,Aisha Khan,Hyderabad
2024-04-06,Cap,Men's Wear,"Rs. 1,500",3,-4500,Zara Sheikh,Multan
2024-02-18,Sneakers,Men's Wear,-1000,3,"Rs. 4,500",,Karachi
2024-02-09,Jeans,Men's Wear,-1000,3,"Rs. 4,500",Ali Raza,Multan
2024-03-23,Hoodie,Women's Wear,1500,4,"Rs. 4,500",Aisha Khan,Lahore
2024-03-05,Cap,Women's Wear,-1000,1,"Rs. 3,000",Ahmed Ali,Hyderabad
2024-03-09,Jeans,Women's Wear,"Rs. 3,000",1,-4500,Ali Raza,Lahore
2024-01-27,Jeans,Men's Wear,1500,3,"Rs. 4,500",Aisha Khan,Hyderabad
2024-03-20,Hoodie,Men's Wear,Rs. 0,4,-4500,Usman Javed,Hyderabad
2024-01-06,Cap,Men's Wear,"Rs. 3,000",2,3000,Ahmed Ali,Multan
2024-01-13,Jeans,Women's Wear,"Rs. 3,000",2,3000,Usman Javed,Lahore
2024-03-04,Jeans,Men's Wear,"Rs. 3,000",4,"Rs. 4,500",,Lahore
2024-03-02,T-Shirt,Women's Wear,Rs. 0,3,-4500,Aisha Khan,Karachi
2024-04-08,Jeans,Women's Wear,"Rs. 1,500",1,"Rs. 4,500",Usman Javed,Lahore
2024-01-19,T-Shirt,Women's Wear,-1000,4,3000,,Karachi
2024-03-16,Cap,Women's Wear,1500,2,"Rs. 4,500",Aisha Khan,Islamabad
2024-03-20,Cap,Women's Wear,"Rs. 1,500",2,-4500,Aisha Khan,Islamabad
2024-02-12,Cap,Women's Wear,1500,2,3000,Usman Javed,Islamabad
2024-03-14,Sneakers,Men's Wear,-1000,3,"Rs. 3,000",Aisha Khan,
2024-03-29,Cap,Women's Wear,Rs. 0,2,3000,Ali Raza,Lahore
2024-01-20,Jeans,Women's Wear,"Rs. 3,000",4,"Rs. 3,000",Aisha Khan,
2024-04-04,Hoodie,Men's Wear,"Rs. 3,000",4,"Rs. 4,500",Zara Sheikh,Lahore
2024-03-08,T-Shirt,Women's Wear,Rs. 0,2,"Rs. 4,500",,Karachi
2024-02-13,Sneakers,Men's Wear,"Rs. 1,500",4,-4500,Aisha Khan,
2024-01-23,Cap,Men's Wear,"Rs. 1,500",2,"Rs. 3,000",Zara Sheikh,
2024-01-02,Cap,Men's Wear,1500,2,"Rs. 4,500",Aisha Khan,
2024-01-22,Hoodie,Women's Wear,Rs. 0,1,"Rs. 3,000",Aisha Khan,Hyderabad
2024-02-26,Hoodie,Women's Wear,"Rs. 1,500",3,"Rs. 4,500",Usman Javed,Karachi
2024-03-12,Sneakers,Men's Wear,Rs. 0,3,3000,Ali Raza,Islamabad
2024-01-07,T-Shirt,Women's Wear,-1000,1,"Rs. 4,500",,Karachi
2024-03-18,Cap,Women's Wear,"Rs. 3,000",1,-4500,Ali Raza,Hyderabad
